#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                JAPANESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:46 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to JAPANESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# JA16VMS                       829 no
# JA16EUC                       830 no
# JA16EUCYEN                    831 no
# JA16SJIS                      832 yes
# JA16DBCS                      833 yes
# JA16SJISYEN                   834 yes
# JA16EBCDIC930                 835 yes
# JA16MACSJIS                   836 no
# JA16TSTSET2                   997 no
# JA16TSTSET                    998 no
# JA16EUCFIXED                 1830 no
# JA16SJISFIXED                1832 yes
# JA16DBCSFIXED                1833 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:832     ID:833     ID:834     ID:835     ID:1832    ID:1833   
#--------- ---------- ---------- ---------- ---------- ---------- ----------
E05F       F0A0       69A0       F0A0       69A0       F0A0       69A0      
E060       F0A1       69A1       F0A1       69A1       F0A1       69A1      
E061       F0A2       69A2       F0A2       69A2       F0A2       69A2      
E062       F0A3       69A3       F0A3       69A3       F0A3       69A3      
E063       F0A4       69A4       F0A4       69A4       F0A4       69A4      
E064       F0A5       69A5       F0A5       69A5       F0A5       69A5      
E065       F0A6       69A6       F0A6       69A6       F0A6       69A6      
E066       F0A7       69A7       F0A7       69A7       F0A7       69A7      
E067       F0A8       69A8       F0A8       69A8       F0A8       69A8      
E068       F0A9       69A9       F0A9       69A9       F0A9       69A9      
E069       F0AA       69AA       F0AA       69AA       F0AA       69AA      
E06A       F0AB       69AB       F0AB       69AB       F0AB       69AB      
E06B       F0AC       69AC       F0AC       69AC       F0AC       69AC      
E06C       F0AD       69AD       F0AD       69AD       F0AD       69AD      
E06D       F0AE       69AE       F0AE       69AE       F0AE       69AE      
E06E       F0AF       69AF       F0AF       69AF       F0AF       69AF      
E06F       F0B0       69B0       F0B0       69B0       F0B0       69B0      
E070       F0B1       69B1       F0B1       69B1       F0B1       69B1      
E071       F0B2       69B2       F0B2       69B2       F0B2       69B2      
E072       F0B3       69B3       F0B3       69B3       F0B3       69B3      
E073       F0B4       69B4       F0B4       69B4       F0B4       69B4      
E074       F0B5       69B5       F0B5       69B5       F0B5       69B5      
E075       F0B6       69B6       F0B6       69B6       F0B6       69B6      
E076       F0B7       69B7       F0B7       69B7       F0B7       69B7      
E077       F0B8       69B8       F0B8       69B8       F0B8       69B8      
E078       F0B9       69B9       F0B9       69B9       F0B9       69B9      
E079       F0BA       69BA       F0BA       69BA       F0BA       69BA      
E07A       F0BB       69BB       F0BB       69BB       F0BB       69BB      
E07B       F0BC       69BC       F0BC       69BC       F0BC       69BC      
E07C       F0BD       69BD       F0BD       69BD       F0BD       69BD      
E07D       F0BE       69BE       F0BE       69BE       F0BE       69BE      
E07E       F0BF       69BF       F0BF       69BF       F0BF       69BF      
E07F       F0C0       69C0       F0C0       69C0       F0C0       69C0      
E080       F0C1       69C1       F0C1       69C1       F0C1       69C1      
E081       F0C2       69C2       F0C2       69C2       F0C2       69C2      
E082       F0C3       69C3       F0C3       69C3       F0C3       69C3      
E083       F0C4       69C4       F0C4       69C4       F0C4       69C4      
E084       F0C5       69C5       F0C5       69C5       F0C5       69C5      
E085       F0C6       69C6       F0C6       69C6       F0C6       69C6      
E086       F0C7       69C7       F0C7       69C7       F0C7       69C7      
E087       F0C8       69C8       F0C8       69C8       F0C8       69C8      
E088       F0C9       69C9       F0C9       69C9       F0C9       69C9      
E089       F0CA       69CA       F0CA       69CA       F0CA       69CA      
E08A       F0CB       69CB       F0CB       69CB       F0CB       69CB      
E08B       F0CC       69CC       F0CC       69CC       F0CC       69CC      
E08C       F0CD       69CD       F0CD       69CD       F0CD       69CD      
E08D       F0CE       69CE       F0CE       69CE       F0CE       69CE      
E08E       F0CF       69CF       F0CF       69CF       F0CF       69CF      
E08F       F0D0       69D0       F0D0       69D0       F0D0       69D0      
E090       F0D1       69D1       F0D1       69D1       F0D1       69D1      
E091       F0D2       69D2       F0D2       69D2       F0D2       69D2      
E092       F0D3       69D3       F0D3       69D3       F0D3       69D3      
E093       F0D4       69D4       F0D4       69D4       F0D4       69D4      
E094       F0D5       69D5       F0D5       69D5       F0D5       69D5      
E095       F0D6       69D6       F0D6       69D6       F0D6       69D6      
E096       F0D7       69D7       F0D7       69D7       F0D7       69D7      
E097       F0D8       69D8       F0D8       69D8       F0D8       69D8      
E098       F0D9       69D9       F0D9       69D9       F0D9       69D9      
E099       F0DA       69DA       F0DA       69DA       F0DA       69DA      
E09A       F0DB       69DB       F0DB       69DB       F0DB       69DB      
E09B       F0DC       69DC       F0DC       69DC       F0DC       69DC      
E09C       F0DD       69DD       F0DD       69DD       F0DD       69DD      
E09D       F0DE       69DE       F0DE       69DE       F0DE       69DE      
E09E       F0DF       69DF       F0DF       69DF       F0DF       69DF      
E09F       F0E0       69E0       F0E0       69E0       F0E0       69E0      
E0A0       F0E1       69E1       F0E1       69E1       F0E1       69E1      
E0A1       F0E2       69E2       F0E2       69E2       F0E2       69E2      
E0A2       F0E3       69E3       F0E3       69E3       F0E3       69E3      
E0A3       F0E4       69E4       F0E4       69E4       F0E4       69E4      
E0A4       F0E5       69E5       F0E5       69E5       F0E5       69E5      
E0A5       F0E6       69E6       F0E6       69E6       F0E6       69E6      
E0A6       F0E7       69E7       F0E7       69E7       F0E7       69E7      
E0A7       F0E8       69E8       F0E8       69E8       F0E8       69E8      
E0A8       F0E9       69E9       F0E9       69E9       F0E9       69E9      
E0A9       F0EA       69EA       F0EA       69EA       F0EA       69EA      
E0AA       F0EB       69EB       F0EB       69EB       F0EB       69EB      
E0AB       F0EC       69EC       F0EC       69EC       F0EC       69EC      
E0AC       F0ED       69ED       F0ED       69ED       F0ED       69ED      
E0AD       F0EE       69EE       F0EE       69EE       F0EE       69EE      
E0AE       F0EF       69EF       F0EF       69EF       F0EF       69EF      
E0AF       F0F0       69F0       F0F0       69F0       F0F0       69F0      
E0B0       F0F1       69F1       F0F1       69F1       F0F1       69F1      
E0B1       F0F2       69F2       F0F2       69F2       F0F2       69F2      
E0B2       F0F3       69F3       F0F3       69F3       F0F3       69F3      
E0B3       F0F4       69F4       F0F4       69F4       F0F4       69F4      
E0B4       F0F5       69F5       F0F5       69F5       F0F5       69F5      
E0B5       F0F6       69F6       F0F6       69F6       F0F6       69F6      
E0B6       F0F7       69F7       F0F7       69F7       F0F7       69F7      
E0B7       F0F8       69F8       F0F8       69F8       F0F8       69F8      
E0B8       F0F9       69F9       F0F9       69F9       F0F9       69F9      
E0B9       F0FA       69FA       F0FA       69FA       F0FA       69FA      
E0BA       F0FB       69FB       F0FB       69FB       F0FB       69FB      
E0BB       F0FC       69FC       F0FC       69FC       F0FC       69FC      
E0BC       F140       69FD       F140       69FD       F140       69FD      
